order_id,location,order_datetime,items,num_items,subtotal,delivery_fee,total,delivery_time_minutes,customer_rating,is_weekend,is_rainy,hour
1000,Kilimani,01/08/2024 19:15,Matoke & Beef,1,480,100,580,57,4.5,FALSE,FALSE,19
1001,Kilimani,01/08/2024 12:01,Pilau,1,450,100,550,52,5,FALSE,FALSE,12
1002,Kilimani,01/08/2024 20:14,Nyama Choma Platter,1,850,0,850,67,3,FALSE,FALSE,20
1003,Kilimani,01/08/2024 13:13,Nyama Choma Platter|Chicken Biriyani|Pilau,3,1850,0,1850,73,2.5,FALSE,FALSE,13
1004,Kilimani,01/08/2024 12:46,Chicken Biriyani,1,550,0,550,59,5,FALSE,FALSE,12
1005,Kilimani,01/08/2024 19:36,Pilau,1,450,100,550,59,4.5,FALSE,FALSE,19
1006,Kilimani,01/08/2024 12:54,Chicken Biriyani,1,550,0,550,71,3,FALSE,FALSE,12
1007,Kilimani,01/08/2024 19:22,Pilau,1,450,100,550,72,4,FALSE,FALSE,19
1008,Kilimani,01/08/2024 13:10,Pilau,1,450,100,550,69,3,FALSE,FALSE,13
1009,Kilimani,01/08/2024 12:14,Chips Masala|Samosa (6pc),2,450,100,550,44,4,FALSE,FALSE,12
1010,Kilimani,01/08/2024 19:13,Pilau|Chicken Biriyani,2,1000,0,1000,61,3.5,FALSE,FALSE,19
1011,Kilimani,01/08/2024 19:47,Chips Masala,1,250,100,350,53,3,FALSE,FALSE,19
1012,Kilimani,01/08/2024 13:32,Nyama Choma Platter,1,850,0,850,66,2,FALSE,FALSE,13
1013,Kilimani,01/08/2024 17:38,Chicken Biriyani,1,550,0,550,73,3,FALSE,FALSE,17
1014,Kilimani,01/08/2024 12:43,Matoke & Beef|Samosa (6pc),2,680,0,680,75,3,FALSE,FALSE,12
1015,Kilimani,01/08/2024 13:29,Samosa (6pc),1,200,100,300,53,4.5,FALSE,FALSE,13
1016,Kilimani,01/08/2024 19:58,Matoke & Beef,1,480,100,580,74,3,FALSE,FALSE,19
1017,Kilimani,01/08/2024 13:34,Pilau|Mandazi (4pc)|Bhajia,3,820,0,820,52,3.5,FALSE,FALSE,13
1018,Kilimani,01/08/2024 19:56,Chicken Biriyani|Pilau|Githeri Special,3,1350,0,1350,75,3.5,FALSE,FALSE,19
1019,Kilimani,01/08/2024 20:52,Ugali & Fish,1,500,0,500,51,4,FALSE,FALSE,20
1020,Kilimani,01/08/2024 13:16,Chicken Biriyani,1,550,0,550,74,3,FALSE,FALSE,13
1021,Kilimani,01/08/2024 19:25,Bhajia|Matoke & Beef|Githeri Special,3,1050,0,1050,58,3.5,FALSE,FALSE,19
1022,Kilimani,01/08/2024 12:21,Pilau,1,450,100,550,59,4,FALSE,FALSE,12
1023,Kilimani,01/08/2024 12:14,Chicken Biriyani,1,550,0,550,59,4.5,FALSE,FALSE,12
